"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
2.683719417E0	-2.221380615E-1	-2.544708252E-2	9.770931244E0	9.773489154E0
2.693696417E0	-2.242337036E-1	-2.454895020E-2	9.759854279E0	9.762460701E0
2.703672417E0	-2.179467773E-1	-3.203338623E-2	9.765841827E0	9.768326035E0
2.713649417E0	-2.206411743E-1	-3.757186890E-2	9.759255524E0	9.761821682E0
2.723625417E0	-2.204914856E-1	-2.380050659E-2	9.765392761E0	9.767910664E0
2.733602417E0	-2.149530029E-1	-3.023712158E-2	9.771529999E0	9.773940740E0
2.743579417E0	-2.206411743E-1	-2.574645996E-2	9.771380310E0	9.773904981E0
2.753555417E0	-2.163002014E-1	-2.619552612E-2	9.765542450E0	9.767972734E0
2.763531417E0	-2.231858826E-1	-2.380050659E-2	9.767787781E0	9.770366244E0
2.773508417E0	-2.224374390E-1	-3.113525391E-2	9.768835602E0	9.771417340E0
2.783484417E0	-2.255809021E-1	-3.742218018E-2	9.769584045E0	9.772259697E0
2.793460417E0	-2.219883728E-1	-2.784210205E-2	9.780361633E0	9.782920203E0
2.803437417E0	-2.180964661E-1	-3.083587646E-2	9.767488403E0	9.769971680E0
2.813413417E0	-2.260299683E-1	-2.484832764E-2	9.755962372E0	9.758612032E0
2.823390417E0	-2.189945984E-1	-2.499801636E-2	9.768087158E0	9.770573692E0
2.833367292E0	-2.222877502E-1	-3.083587646E-2	9.764644318E0	9.767222806E0
2.843344292E0	-2.269281006E-1	-2.963836670E-2	9.763746185E0	9.766427923E0
2.853321292E0	-2.245330811E-1	-3.248245239E-2	9.760303345E0	9.762939700E0
2.863298292E0	-2.311193848E-1	-3.233276367E-2	9.772877197E0	9.775663164E0
2.873275292E0	-2.213896179E-1	-2.439926147E-2	9.778265991E0	9.780802343E0
2.883252292E0	-2.296224976E-1	-3.293151855E-2	9.771979065E0	9.774732008E0
2.893229292E0	-2.299218750E-1	-2.769241333E-2	9.781409454E0	9.784150543E0
2.903206292E0	-2.308200073E-1	-3.293151855E-2	9.780062256E0	9.782841105E0
2.913183292E0	-2.308200073E-1	-2.933898926E-2	9.775122528E0	9.777891342E0
2.923160292E0	-2.306703186E-1	-2.963836670E-2	9.777517548E0	9.780283054E0
2.933137292E0	-2.351609802E-1	-2.993774414E-2	9.772577820E0	9.775452634E0
2.943114292E0	-2.356100464E-1	-3.562591553E-2	9.770931244E0	9.773836436E0
2.953090292E0	-2.399510193E-1	-2.993774414E-2	9.770182800E0	9.773174751E0
2.963067292E0	-2.363584900E-1	-2.784210205E-2	9.775272217E0	9.778168920E0
2.973044292E0	-2.336640930E-1	-2.080673218E-2	9.772727509E0	9.775542685E0
2.983021292E0	-2.276765442E-1	-2.649490356E-2	9.771979065E0	9.774666922E0
2.992997292E0	-2.335144043E-1	-3.622467041E-2	9.768685913E0	9.771543669E0
3.002973292E0	-2.312690735E-1	-2.799179077E-2	9.783804474E0	9.786577487E0
3.012949292E0	-2.333647156E-1	-2.814147949E-2	9.776020660E0	9.778846097E0
3.022926292E0	-2.299218750E-1	-2.963836670E-2	9.775421906E0	9.778170378E0
3.032902292E0	-2.260299683E-1	-2.589614868E-2	9.769733734E0	9.772382381E0
3.042879292E0	-2.270777893E-1	-2.829116821E-2	9.778415680E0	9.781092880E0
3.052855292E0	-2.308200073E-1	-3.203338623E-2	9.777367859E0	9.780144491E0
3.062832292E0	-2.243833923E-1	-2.305206299E-2	9.767488403E0	9.770092580E0
3.072808292E0	-2.252815247E-1	-2.799179077E-2	9.772877197E0	9.775513491E0
3.082785292E0	-2.228865051E-1	-2.814147949E-2	9.767937469E0	9.770520597E0
